"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","10-Jan-2019","        726.30","        728.00","        734.85","        722.80","        732.50","        733.20","        731.85","    2550750","          1866759028.50","      84683"
"M&amp;M","EQ","11-Jan-2019","        733.20","        735.00","        735.00","        721.25","        725.40","        727.90","        725.77","    2215240","          1607760996.45","      51923"
"M&amp;M","EQ","14-Jan-2019","        727.90","        725.00","        726.40","        714.30","        726.00","        724.55","        721.22","    1713221","          1235609268.00","      54020"
"M&amp;M","EQ","15-Jan-2019","        724.55","        727.50","        730.00","        723.35","        726.75","        726.90","        726.92","    2138402","          1554439626.20","      72011"
"M&amp;M","EQ","16-Jan-2019","        726.90","        727.30","        732.50","        724.55","        726.60","        726.25","        728.21","    1288969","           938635406.50","      37499"
"M&amp;M","EQ","17-Jan-2019","        726.25","        729.00","        740.00","        727.95","        734.50","        734.65","        735.93","    3318440","          2442149574.80","      75818"
"M&amp;M","EQ","18-Jan-2019","        734.65","        734.50","        737.90","        728.00","        735.00","        734.95","        734.38","    1601885","          1176386873.70","      46979"
"M&amp;M","EQ","21-Jan-2019","        734.95","        738.00","        738.00","        727.35","        728.50","        730.30","        732.42","    1341152","           982281175.15","      63509"
"M&amp;M","EQ","22-Jan-2019","        730.30","        727.70","        727.70","        705.15","        707.75","        708.50","        710.00","    5097285","          3619052210.60","     181942"
"M&amp;M","EQ","23-Jan-2019","        708.50","        708.50","        709.75","        693.60","        694.10","        695.85","        701.71","    4714919","          3308485630.80","     102997"
"M&amp;M","EQ","24-Jan-2019","        695.85","        699.00","        700.05","        686.05","        697.70","        697.30","        693.18","    3891245","          2697317936.30","     139092"
"M&amp;M","EQ","25-Jan-2019","        697.30","        702.00","        703.50","        681.00","        683.55","        683.50","        691.37","    3421228","          2365337176.45","      93204"
"M&amp;M","EQ","28-Jan-2019","        683.50","        683.50","        683.50","        667.50","        677.00","        673.05","        674.68","    5762442","          3887813747.65","     147294"
"M&amp;M","EQ","29-Jan-2019","        673.05","        671.95","        676.90","        661.60","        670.50","        669.65","        670.85","    4860919","          3260964224.65","      91419"
"M&amp;M","EQ","30-Jan-2019","        669.65","        671.90","        680.00","        670.30","        674.30","        678.65","        676.57","    2738163","          1852570002.50","      80324"
"M&amp;M","EQ","31-Jan-2019","        678.65","        678.00","        683.00","        672.75","        680.75","        680.05","        678.20","    3496189","          2371113354.35","      71265"
"M&amp;M","EQ","01-Feb-2019","        680.05","        689.00","        715.40","        680.55","        687.30","        688.40","        698.00","    8005192","          5587596721.25","     134142"
"M&amp;M","EQ","04-Feb-2019","        688.40","        688.00","        688.40","        670.35","        674.40","        674.45","        673.94","    2652101","          1787367972.20","     106929"
"M&amp;M","EQ","05-Feb-2019","        674.45","        675.25","        692.60","        672.65","        687.55","        684.90","        686.68","    3550741","          2438219651.90","      78607"
"M&amp;M","EQ","06-Feb-2019","        684.90","        687.90","        698.25","        682.05","        695.85","        695.10","        690.76","    2221744","          1534695564.80","      51777"
"M&amp;M","EQ","07-Feb-2019","        695.10","        695.00","        708.90","        693.10","        702.65","        700.90","        703.16","    2710457","          1905872145.25","      59489"
"M&amp;M","EQ","08-Feb-2019","        700.90","        702.00","        706.70","        678.55","        680.95","        682.10","        691.22","   10858152","          7505415205.30","     132982"
"M&amp;M","EQ","11-Feb-2019","        682.10","        669.40","        673.40","        645.20","        650.00","        647.55","        656.37","    7931599","          5206029835.70","     121657"
"M&amp;M","EQ","12-Feb-2019","        647.55","        647.00","        657.80","        644.00","        647.60","        648.70","        651.06","    3357448","          2185899437.05","      82413"
"M&amp;M","EQ","13-Feb-2019","        648.70","        649.05","        652.35","        637.25","        641.00","        641.50","        643.38","    3420156","          2200461521.05","      78469"
"M&amp;M","EQ","14-Feb-2019","        641.50","        640.70","        642.40","        632.30","        634.45","        634.40","        636.83","    3530468","          2248301015.70","      90591"
"M&amp;M","EQ","15-Feb-2019","        634.40","        635.00","        636.90","        618.80","        627.55","        627.55","        624.19","    5765467","          3598766586.40","     109033"
"M&amp;M","BL","18-Feb-2019","        792.00","        627.55","        627.55","        627.55","        627.55","        627.55","        627.55","    5358108","          3362480675.40","          1"
"M&amp;M","EQ","18-Feb-2019","        627.55","        630.00","        630.00","        615.60","        623.40","        624.70","        622.00","    4750172","          2954603224.90","     114858"
"M&amp;M","EQ","19-Feb-2019","        624.70","        627.00","        642.00","        625.25","        634.25","        632.60","        635.52","    3526711","          2241278083.45","      75842"
"M&amp;M","EQ","20-Feb-2019","        632.60","        637.00","        637.30","        628.15","        632.65","        633.55","        632.14","    2369483","          1497853331.25","      69093"
"M&amp;M","EQ","21-Feb-2019","        633.55","        633.55","        635.95","        625.00","        634.00","        634.20","        630.60","    2813880","          1774446447.00","      80935"
"M&amp;M","EQ","22-Feb-2019","        634.20","        635.00","        648.60","        632.25","        646.25","        646.60","        643.82","    4053346","          2609638938.35","     110200"
"M&amp;M","BL","25-Feb-2019","        627.55","        646.60","        646.60","        646.60","        646.60","        646.60","        646.60","     377124","           243848378.40","          1"
